#https
#cuts
#val err
0.03 1.6e-07
0.0495 1.6e-07
0.0712 2.1160000000000002e-07
0.09210000000000002 3.1360000000000006e-07
0.11199999999999999 4.6240000000000006e-07
0.129 6.889e-07
0.147 1e-06
0.159 1.4399999999999998e-06
0.175 2.25e-06
0.184 3.24e-06
0.196 4.84e-06
0.203 6.76e-06
